Probability stats:
30daea0c4f1309c8d9e767a314fa47221dadd6ae 0%
b891e08928ff81f4b080588b76870010b2dfd95c 25.0%
94df09c8c0477857302d5e1c3a9a0c3ef55cccc4 67.7113%
bdf6d4d42a2158b3bcb6f27b0148f15bf15c0cf0 45.679%
FIXED_cb2e1ae3558a0b123040627e5dfacaec930c759b 0%
9705406b822e6180fcda330bb6bf369ab9e6b70d 100.0%
4e00b1b0cdbdc467d9503dd10e0cbc8a4aa14b83 0.0%
fe5ba6850b99ab03564ef7a90f81e2e6bc55f796 36.6255%
5690dab6bb95159aa2174f30a94e4aca2dd7d249 0%
65506a5b30ca89bbfae06741bd3b4bc63b529599 22.2222%
f09bb2689c04a107feb71678812716832565b5b3 0.0%
e6f376ae660eeb913b75f7bc0a911fed1d098f75 0%
1c2998c4d8c538627af7cb1ca7e398a707669767 95.3311%
fc5d5cf2316d224117e0dd3b08a82801d5e1bf3c 0%
2a4fc7dcc3c72e28561aa21b6b298c06036060f1 96.2941%
b68d6e2693a93f25c5690cb703e54affc2f02862 96.7113%
FIXED_0b34b142c8fa52e791e9a90f1fe3a75cd75fd4ab 91.5344%
0b2a9d851141b7f99b0ead3c24364b405187f1a9 0%
7c9c5c316b7b1d9dafd13f4eabecc6b2fc40ad8d 0.0%
FIXED_180ae206c70b2e06c9c46a99817f522a5eb67ca4 0%
69e3ba6bed0b5ccc833245ae9f0a88539bf8eb01 27.2727%
bf5b7e747db7ab26c64b5cc8c3dd9a19ecbe4b61 0%
FIXED_24154c95f2be3a6c102b7f8e6e12c09c270565b4 100.0%
0b10d24eb26693172c0d15d014777d28dc901c4c 33.3333%
06ec59eca46301845ed696b25e7203e54ff11a32 33.3333%
35a88174421145749d4574b9b381abba11e6c300 0%
c7378e78d9513600887f5fa982cde8b4bcd6cf11 0.0%
FIXED_ab182dc22aab192da2095e17a486afc9097faf25 50.0%
f554e5a357841c4e437837c900db1234f0cfb52d 0%
749486ba3c9ae91029b562d464c2dbb1c3953338 33.3333%
26aae0e6372bf5e6a69ca1acc0a8de12e008f6ea 0%
95c8d8fc9ce7c5298bce099a910fee43c083dde3 0.0%
10210235776fe49dd1905a1f9376fb862daa550c 0.0%
3d0c6004c0c7bff423c20bac5b387ed848639ce5 70.3704%
6c53bd00f654a0935f95dd87746a266738812e68 20.0%
cc759bef5601c419d89e527cad69a08373b09599 0%
d670adc11f2ae565d568ceb5cafb5c14828bfc51 0.0%
349c3836047df2f76f91a11d5cec332d168522fb 34.375%
f4074881280bf1824cf299aee7383a61945ba505 0.0%
086b10717fade69d4d40667b60cc11a1031cb62c 59.8958%
eefd0444c8a6572a3892eeff84a9148f44ba30af 82.0979%
65a61ed2701e7834e34368646ffa59942ee06610 0%
5e7db4631efebec3a0132ad6fbb7d0159ca8bfea 0%
FIXED_0d6114e25effbd822b569c6e0dbcb0e9736f7515 44.4444%
ce5a6fa3ac344220a367b7c42fa8778d0269dcf0 0.0%
246851fdbe386f31725638e0c8466b498ff54241 0%
21c30ac1579d5e9cd21b7edaf41601faa724a14f 37.7778%
269d92e6377d8fd76d52321ecf1bb3f52e611445 0%
ffe145d4369995575089e40421d96c6d4597eb9d 55.5556%
37cd841992000da2e8e3295bb2e2eb722fa59151 0.0%
315ab94c946aab7fbfd30d9ab0586df2c2650e2c 0.0%
FIXED_1aa9963e07450ddd91a8dea897a3518903246397 0%
88ade2c0b7bd4e507482415c7665292756be1471 66.5441%
4ada7dce7725dc58506af6801e832e4477a6c2e1 25.0%
a323689ee6b479265d0f6b7b786af1c493e81dd9 0.0%
2ea612e2fe8b769f48a6f024c3f5e804d9eafdee 12.5%
ca2557eb7edab5329c61dd66910aea3e92bf0b17 0%
e0f95686f3d7814f5fd196e30f328efb35f1dba1 33.3333%
29770e8bfb3366c1543583c84202fdf413737231 12.5%
FIXED_b959acc69dc7da5a21cd1b6f3fa4852f4cd2a701 0%
486cf8bdac8ee7c4339a532494a91a32b3edd282 97.3214%
ea911387f135c869ed8c3342f8117aa9e2c6484e 20.0%
0b9b89db81dead407a43e3274cabb6f97ead28ac 30.0%
eaf89aa2f2b3726e599a65ef56347c035cea9ca9 99.8076%
4bd373ba575f5ac4144c558c2493251f6a65b1eb 0%
7b29c65f582de217f75c9902802bb21507c9e519 72.2944%
2298ac6ff39d1fdd1bf4f15abb3f82a6e66d32ca 0.0%
4477f47c2507c8205dab5b6a996ccae1c1278d3c 0.0%
4a2fe3aaae78f69de614cf9ce8382488671af024 0.0%
0f65b8bdd3a515dc151fbb7c79d18660cdf982ee 20.0%
778282ae2956a0132b7ef4c01d640c5fc6686822 55.23%
85dc29bfb9d89d2a04c90d37c2272d97c5cce78d 12.5%
05e46ee4a8315adc73bdb8dd5143adbd383af00c 0%
6a3b052fa2f9306a32485381ce6abb6d7ed4fbbe 22.2222%
222c7925394e459f5136271b0984f612831ee3a7 0%
51fb8ddb079999f8f979cba6ea407ed605463632 99.9558%
8e63b8f28901e26461ea04504e306d4e1ad1ce61 12.5%
17c35be4265c1fdb38089f40707a7aa1000a3dc5 23.0769%
dfd461518faac1319acf4e58fdb4494d2b59c82e 0.0%
df5818cdc59d91aef0e162cacff368b3992f084d 58.9744%
589410452416a636ceb6109d5a79484f7fae0d4b 67.6%
09732df0f5f9fa7e33d0fc7e957f4a5973a96b8a 20.0%
ae8f292306ada3e40854d290fbf953bb509048b0 68.2879%
9f8c0ce5676a85ed22fa458428dc329e91354285 0%
c7cf35c7decce5a83d652f129b1f4b978cf7dc4c 71.3542%
e5c9d8604d1a1c086336f54152b03bd4849ee44d 50.5495%
b2c22977c106c452aeb462cbb47105cc90307bed 59.7622%
c0edb72b3da856505b0dbea87d5fff832c25ed3f 38.4615%
33d31b7dca76ef31f8e3f84333c27d9aa920b9c5 0%
4c465bef2d5f6d674ebe4c6038138e93d060f575 52.3237%
3bde9543f3d22d7c1fbed4112278a75714128053 0.0%
cff0e86989f8a6cc95bcc848296b08b6bef4efa3 37.5%
65f7aa7914732d2ae22d5d6d76713c8c33f18dde 0%
06f5a5788ed9e86edf5e2a4c4d418c1741c0a17d 0%
52c8ac2ad315e63c5da02c43e42a1cabedc679fe 18.5185%
0c80654cc2dd9b87a9f728c7ebbec59f9db18c96 50.5495%
FIXED_a2180f177fdd2e0637cb9ffa04656c8e4275131d 58.9744%
b992d07f3e29d7acb20b484c3528ff8a7ac28004 0.0%
dc3052e22526e14f4d3182eb7f05cdc3dee76abf 23.0769%
9b2e57cee5cec649eadaaab75968238e8f3a7443 0%
77a3513a6b989273e10378ead33c1b4c5259ad4a 65.8471%
0dd2337663fb1306e6f9a434bec615d2f30725f0 0.0%
d316c04837cff159da2cbeefca659595c2178e6c 16.6667%
63468dbaf3a741c7679efa2a0d3eb174342c68fb 50.4167%
2acd5d4af26c6ec51a5cdc08db819f892db061f7 0.0%
6c1cc1d2831afa52bb23def983f9ac858ebb100c 73.2031%
15cfc9e1f5f9b41af526ed92ddce63fd2215ed8c 22.2222%
004713d4cd1c196d59d7e21aed4864a99c970cee 34.0659%
FIXED_7a6eb53e0fc9bdcfa2a43f37f55c31002a5159b4 0%
02c26d5bb4f3b9c29be909359427d2b3418cf27a 64.8713%
c60c58ed69aa57a5b69c0d975b715a4394f1671e 0%
FIXED_366afdd1e441e25d2e2a7725a4a9126dbade4e35 99.6583%
307483e4994a3b78cff63de05f7a6b3b68aa7f6f 60.0%
4608894e56d8cd85ad765b0601b54a522f46af07 0%
a1066322c89b1224851e79a3056c9a8ee41ab1ba 58.9744%
050a2d39faab5f9cb30fb5debe47f3156a711e87 0%
13aa61bbc08ab72e0f53f7870636d011d8fd9cfc 55.3922%
f4d0e8c948544188c0ba5ba74d4a331cf40ec342 18.5185%
e7db587a9e3da7799842356b972d9a8078ee6bf7 0.0%
059080f1941ecf800e7e8324d84873f08a415028 0%
FIXED_78c159cd59fbce870a8bc36112e41eae57f322f7 0%
721aa3c9072f0aefa3d8042836ee1be16c01f05c 100.0%
77178afad58cff4a0553d8368b454a3a057f373f 0.0%
fd7b8c32932aa140019c0f71ac6b99d7a3853b28 12.5%
660908e436a2c85ca7dff80c105e715d4fc8faf5 50.7692%
8d694f77329f1ecf4aac02ff04562af1b8771a88 30.7692%
bdfa9f7a567ff15068134094cd6175cfe58c82f8 12.5%
19ef97a7ece4533ff7560f1d71ef90695b8ab8b9 20.0%
2c17ea703d7de69e6e0dc64ce6e12666f297c087 0%
1591fdf61c9efa9b4fac61b0ec2fdfa0765ecf6b 89.8378%
811f3340e9ae4348a46c77b21bcdbbd595e354fa 70.8333%
FIXED_7e8d1128f80d27adf56798432ce31bf649e06853 50.0%
54db6eda04e1de5448822476425a3fb8f61d3d54 77.0588%
c5b26e33106847b6aa6092713321daec4a08db9a 0%
FIXED_7079faf2b9507a883a32da50ee538f538e2d57a8 100.0%
707d1a96eb47ea3a74ba1b7489cfe02de5b039de 22.2222%
FIXED_76801dfa4ff1f56430259ca229a9af2178d68c06 11.7647%
6e4577f721ca5a815dacb1cddc958af691639f5b 88.4023%
7b0987610c2a78fbd018f08d031608679d80c8ba 0%
50fa560d4a54bf6eb0d271cb1ee6f01357225548 20.0%
b8a7df21f2a01f9c603d075b0590ed07ce37b221 52.1368%
d1a4348048c9c9b44e0a55f58c2833e11386b7b0 11.1111%
020b211660572802a27ef5f3f42d4ab8b3c2776e 0.0%
4657e58b52cb53e5cf1d5ddff397bba91114998c 0.0%
22971c3a93e404810ea16334f4dcbb3e02cc4f51 23.0769%
5fa9aa3c22db29b969da6daa44b9c8b9240a533b 72.6562%
fbce43870f0b43cc6ab33169f3623a6377a418e2 64.184%
b1e69564413963adeb476b1af69c083f2e34b664 48.5714%
ad462cec29f502c4b1f5544682ec8adbc592fe68 0.0%
a0a42285d01bb0b91eb405286a59bf7ba878a9ac 16.6667%
FIXED_b0b2776d03501c25d6a38d5dd4ab933934113140 49.9549%
FIXED_e9ac6affef9d7e1420af26645d9b56c7d3d541e6 84.045%
5eea1339c936ffa1d5325c091f0c30cb5417c388 0%
f303dc21a01dd8b864ff96c677e4eb845da951ac 70.9402%
d68891d91d6a086259eb5fc67e5a5df3d6d86bbb 0%
987bb80770303db51868a774cdefa2b8533f3786 0%
FIXED_b884327a53487f73d78eeea3cb10f71bb5506fed 97.5824%
4743818fe700ba54b15d40ecfb6d5b2be781a0f1 80.2232%
43575e6f54f341861e2ac88d62da30f011d003ca 16.6667%
89f9dc5640e50943c00097ba6475c288b6373ca6 0.0%
f7aca99d52e1216a6c87a6a44db9631606f9e4ce 0%
12a48ae2db053683faa7d2e9d2cb2aefcced937b 23.0769%
bcb684d1cc4f1e697df613199d1a786d221a3035 0%
d3b26f71261881ca57e9375e5d752ee213811fa8 0.0%
FIXED_422e190c9617ffb680a5445c75d415077bb20a48 29.6%
3e13fa1ce637fc0aa33ca885e668ff206d951d57 87.1667%
dc9f531447737d69bc1def592b98522788253020 0%
FIXED_e330159f55248c9c8f3709c0c2cae09406245eaa 100.0%
b88846fff5806738b51a23f5eeb1d481668d2be1 14.8148%
93b6a910aebe333ca5e502d9b7bcf17efb49d7ba 10.0%
8d161b4526a280353a39abcb44427b65fcc951c1 0%
b6acf62aaba3bc9c5565506a6ca9adbda9f73340 50.0%
FIXED_2a11aed8817cc1a0cb26b50e7cba88ed660d039d 56.25%
e7b287902b9c554fbef5c9226fa77619ea6a36b5 0.0%
c012ce048125d5f741c4ec7e3576c4b481db493d 0.0%
c97399a8eaa6edb80ca8746f6e1cc1d59efe8aeb 0%
75d622f4a2b9664a7ff8305119e00406e56fed43 23.0769%
5bdf7654fc2ff816ebae19f64bbc730729e501f7 83.1382%
FIXED_62657f7f4ec442b6ad30d335699caf7cf2d8c1a4 33.3333%
64332c3e6a6c4962fa4e48363bc0951be83b1041 50.0%
57f51d1c58980de9f6c9fde6fa76a2a966eeb56a 78.6325%
9f3f73072345c9f1f73bafba0b73225e72cf06f0 58.4604%
FIXED_e9d303326fb3141153ebbe05df0521ee94ddc245 84.3388%
20d7112a05a52103fbaebeaf31b77e27ed3f6500 0.0%
922cc21abc7858efba2005b2b75d4157c84a3f08 0.0%
cdbd934c4e4287fcc984a3d12c080e7bdc2e2e02 0%
ca1170583eeceb7c0aa13e5a32541108c10216eb 49.0196%
f5629c82276d14024ef618494d0e41aa52d6c688 0%
2f58032ad82e57292de58cea1d97724a9f99b349 0%
466bfe4b49ee3a3a7ba3b0039d894ef3768a200d 0%
7d0407013e87c7d4ac08a1e72dfdba44c27cc99f 82.0759%
0e4e2e4bc5452001cf86d0bfb350301189f304be 0.0%
a8a3cf31b4049989807657bbb174fdc320a166a3 22.2222%
f784516470c48543f200a211cdafa0f163f296b9 37.0%
2aed7c70aa46f7e6c7473a07a9fc0481858f51e0 67.6914%
b1062f5387c6fd5acb2c85fa75aa2242cf24c7fe 0%
29c835d27a007cdc1921d35401a5ea2c7152ee9b 16.6667%
0698c9c8537f095cda84b3073423bbbae3de5488 0.0%
e54ff5ec9e22bc6f7246404c13545c12184b34f4 0%
f0a23f46207e01320e3dfeab5486fb5112101462 0%
c60bb12424d07bad6560c2a9da8d70919119fdc0 49.6296%
3b1bb4a95d0b107f84e3a938a96a587e76e8620a 61.0806%
05a5c59a7e3b12f5bf42beb003a065e63a093db9 20.0%
734d5f3aed2ba6d6f07affdcf5f5e2a2ddc3f654 0.0%
2cf07753e7a68adf81b2a056607c0bb4315f5571 0.0%
2935057ca72c10795d375015feb874ea78091f45 37.549%
68b30063a9d38e4e07212f310709d1d27d1f1e13 33.3333%
f06a3d171b687d6cfb82811115d7a5f28728fc21 92.8606%
FIXED_a98e64cf0a21728a73edc1b67975f78ced73d2ff 66.6667%
dd04bc9e1d84f3abed226557a85e595daeb8cfa3 10.0%
2f33eceada973b6e2b59f6b1d7b30983d7f05b40 59.0165%
d5b88775d97188194d11d9cab9bd7743d3d69961 37.037%
a7a01df79aca394acb8384db9fbea7436b0a31c8 82.3353%
e3fac742c5edb15c684b3262a91631bb9ad74193 14.2857%
ce390f3f7969d9ff1fb41f5f00d930b46a15650e 37.037%
43a8b7d0e1fe08d9ac05e58f5198450492553944 0%
b596d04939589bcfee464f7f8d5f1410305a67b3 64.3137%
84a3548232e70826d2d96a880876031a3a1a4ba5 0.0%
63388a7d97dbe9d4ffc19ea5300b5e1c32a0ec3e 33.3333%
35f980d2b8522fbd52ada8190df1aea7b5de32b1 20.0%
90b881502dee3c1fae1f8fd34abc8733813d265c 94.5638%
dfac877957f000cfbaf517546a01489199640655 0.0%
87f5ac8b71fcf1598470299a7d333462abb1d5a9 0.0%
FIXED_3c1a416afcb99e19f9d9f405ae016a748ece827b 50.0%
972a49d6aa14e724b0f25921829e951a69453e25 0.0%
cea16fac88134d7ccc7c2b58baf4b25d8a4d8d06 0.0%
7e994c8f117d335a74291d212e679bce265a1f32 0.0%
646a41e9313117fa5ef7dbd826cdef49628c1380 40.0%
735938395b207bfa02ca89701d5bed70c32aea0e 64.2857%
d8e10ba399138ab9e76ef8d434996c851bb7b6ec 69.3811%
8c28721839078d67425b6ddd74879aaf238559e9 64.6223%
da333b0b1e939165eba8ee22dff966fc2bed1e56 43.6129%
44d07ac4018aa625d45139ab37bd5c127292a19a 0.0%
d08ba56c28ae6b6463dd910cc4b67528518a72ee 28.0303%
c991a48df64e79702374de7713ad83f4b002c265 36.0%
fd44255668ecb0c5d5ffd10bcecebbd7eef47ce4 0.0%
84564891be1c3bedfe9ad4eb7fbf695e29633768 72.027%
8c8bb9e59fad021ef344786e47a5be71ae300fe1 30.8642%
99df4acfe95004bd39da3d61e30344ac8a7dace0 11.1111%
47ffd99c3b1e7b6e4d0c6e701bada8c311f5c92d 0%
FIXED_c703f281d9344365f603ab0f83629f7b9ff02b56 98.267%
e179c65e52906568a6aae21f3f8317afca470769 0%
29da70be56f294649b5c55a809f6cb6f87ea7342 14.8148%
a9dce26099bbfb79639075d3a02db5fb945838db 14.2857%
2c27f5d4259383434d5cd99cbe5062883749913c 28.0303%
df7b4d54c623dc31c4bfdae9e4530f0e6d5d6918 51.0%
9994b1fabc96b26ef406a58022c7c127387fa4a4 11.1111%
2d093d5be05e5f86b513f64359eb373bdbec61b5 25.0%
12b373701b5790d87134ed4e3ee464b5cb085ddd 0%
2b8078a19b9c75634bcb6d43df96774f74c5a394 92.5195%
5617118fa83e531a04f4fd0e3628eb7845c00a4d 0.0%
fa93d0fd6e87c81a9caa59ca1cacca8a727cafd4 50.0686%
dc436490f8bbbcca38e361b1a4dfa5853e6cfd6d 0.0%
d83f204d8cb8a3a52348c09706e7ad5446f9d823 58.6168%
873973a0888500bfdcfdc46cf2838cda3b1494e6 0.0%
d371cfd78d232e63e88efc0db3873bb6681cabf5 82.0728%
7b1bad5b292e726aa0026344e966141f00071bcc 55.6959%
0c2adfa1d22120352b3c4efd95349d2196546d25 47.3672%
07d9649b22eb8e3da6a09dded75167e9a068222a 30.8642%
b7339e00baea4214824e8d43b5f3b56c77631618 75.9579%
FIXED_58e68f8f80de5b7bc620ed248f669ec24ed3cbba 84.7746%
cfa4151cff0bf1d5118921e77bbcb49b0680cab5 25.0%
3d33b5d564ba1c98d901dec888d6fcc5110bddb1 62.963%
b516a8561f6f7f948c564c9ddc9bc1e8bd847c02 14.8148%
38383a426f83de3d30bda652dfabbd99d230a3bf 12.0%
7e34de23f1344b4766918b76f52a8fc2552fb55f 14.8148%
f02ec375a698e23ae54438b6131e3a402fc41e42 28.0303%
FIXED_3c5b0ea90a810e9124a5743abab2f3c512f8dbe4 38.6364%
15e10374334a6be310db5f6a3ff689f036f970b9 25.0%
5da4c98f05a13d74d78036efacf9c44791261238 74.2478%
a73ee7aefcd2a4b569edc00a6337ee6b79515eb2 14.8148%
6c5bea9caf6c8acdac5780c4b904550391a639a5 36.4706%
93ba2f4fab0cdb150ffa2561888f21ba30b276c7 0%
9417797b99ccc7d471f30c2f104335fa2222948d 98.4565%
167e5596f270384448765b56dcb0b2548f27963f 0.0%
2a1e34fe032ed413010d70d0931e3dc68881974c 0.0%
3de00cf4a8a4797bfe228698d3b932884c99afc9 72.5932%
1d55545e3023f29eb7390357a77b29034855ec5d 0.0%
9b5a555d1f9231def1a186f1baf9287ffeba324a 38.6925%
9c842d0a400ad4ab30796cc1a70fa8c3f799edf5 0%
FIXED_0dc377550ff18266aae4032085cf5c01733946c5 0%
8a91b0ad9d0c62d75f25babe77fdbd3894fa4c25 78.9663%
1b50ab5dca495a0f1aee88a2abae7d934218f0b8 20.0%
6053df050ca2d862312eb5a688d52a6227b0673b 39.0596%
3517c6181d35c0ced151ebc3c2aa9b6da62670d9 37.6263%
2e126c71f0c6a592fdca05306e6a25ae073f329d 65.5906%
46d7ecca88dbdaf6d1656d23669b7eeba625ac10 66.734%
48d8c6ee0fba2f917a0aff0fef81070a6e3230ad 13.3333%
FIXED_5fd3cfdb61f434d70d4f20727c337bc5e901996b 86.6804%
10d710cf03d2423434971cb0dc2d9eeb0ce04cc5 0%
21702b615a689f0d1c08af8420ff5c0a26dfe06f 50.0%
d75338b6e9a1cf769505880f9f8e3e6bdd9d9231 0%
b85af714f5638d5ff2e6c5c25d64cf526e45a97b 39.0769%
a2b32e0b759ccbe0a10cbc994513dba23fc995c0 14.8148%
05055985095ac143243cfc9e93294066b43c6c23 0%
91d45d6d461fab2126b63d646a6be08ff5273a2a 38.6925%
de7058532aaca3f8df0c51efd121164729fa4f20 0%
7c94db0ca0668a089acb7af930a9b4c751eed0a3 31.4286%
1d8603df2b6ee15ffcfc3d753c8e288083f6aebd 22.2222%
6a8c559e8ca607bc16cf47d8274c739158948ca5 80.9066%
7418d2965d905de3dcc7894863b1e06bf68bba10 0%
ac560dfcf98cf04d6978067bf26d0f8a7139ca5d 32.6531%
1afc1834587dd3504cf005c8ca10c387a0a66ea0 80.7334%
697d01e30613d639fcbfcc32c785a067804a356c 0.0%
aed137472c29ceb5b878127af8b4355237b75eae 0%
bdc9632b5b9ec95d629637bd9ae300d0fd4c68ba 55.5556%
6f32643d7c1cf68d16d7e72e7e9f3b951adaaff1 99.7248%
346d219cd5b434118dff63e687d68de5901547b2 82.6536%
FIXED_6b5d5e757ea9909eb7a96c85fe801f690fd7a1cc 50.0%
e202d7b8d6ff7085fe3fc5af9f3f6783dd55759e 0%
5a20db0bedcbba551ef4763de53b47610bbba34f 0%
2136a954f5bb78f0d720edfe24213ecf1ceb6f6f 89.7437%
0e8d3e6907c29fa25f1ae4edd92d38d3a94b74ae 0%
592e037f21daa66c91903b91574304edc5809fd0 23.3083%
c6695121f04caaab3cc7e67f5a63e38f4910ed92 0.0%
